"species","cultivar","location","repetition","split","year","pheno","measurement_type"
"Pistachio","Mateur","Sfax",1,"Calibration",1998,109,"flowering_f50"
"Pistachio","Mateur","Sfax",1,"Calibration",1999,95,"flowering_f50"
"Pistachio","Mateur","Sfax",1,"Calibration",2002,113,"flowering_f50"
"Pistachio","Mateur","Sfax",1,"Calibration",2003,112,"flowering_f50"
"Pistachio","Mateur","Sfax",1,"Calibration",2004,111,"flowering_f50"
"Pistachio","Mateur","Sfax",1,"Calibration",2006,95,"flowering_f50"
"Pistachio","Mateur","Sfax",1,"Calibration",2007,125,"flowering_f50"
"Pistachio","Mateur","Sfax",1,"Calibration",2008,102,"flowering_f50"
"Pistachio","Mateur","Sfax",1,"Calibration",2009,97,"flowering_f50"
"Pistachio","Mateur","Sfax",1,"Calibration",2010,114,"flowering_f50"
"Pistachio","Mateur","Sfax",1,"Calibration",2011,94,"flowering_f50"
"Pistachio","Mateur","Sfax",1,"Calibration",2012,106,"flowering_f50"
"Pistachio","Mateur","Sfax",1,"Calibration",2013,109,"flowering_f50"
"Pistachio","Mateur","Sfax",1,"Calibration",2014,112,"flowering_f50"
"Pistachio","Mateur","Sfax",1,"Calibration",2017,100,"flowering_f50"
"Pistachio","Mateur","Sfax",1,"Calibration",2019,104,"flowering_f50"
"Pistachio","Mateur","Sfax",1,"Validation",1997,111,"flowering_f50"
"Pistachio","Mateur","Sfax",1,"Validation",2000,101,"flowering_f50"
"Pistachio","Mateur","Sfax",1,"Validation",2005,101,"flowering_f50"
"Pistachio","Mateur","Sfax",1,"Validation",2015,99,"flowering_f50"
"Pistachio","Mateur","Sfax",1,"Validation",2016,121,"flowering_f50"
"Pistachio","Mateur","Sfax",1,"Validation",2018,99,"flowering_f50"
"Pistachio","Mateur","Sfax",2,"Calibration",1998,109,"flowering_f50"
"Pistachio","Mateur","Sfax",2,"Calibration",1999,95,"flowering_f50"
"Pistachio","Mateur","Sfax",2,"Calibration",2000,101,"flowering_f50"
"Pistachio","Mateur","Sfax",2,"Calibration",2002,113,"flowering_f50"
"Pistachio","Mateur","Sfax",2,"Calibration",2003,112,"flowering_f50"
"Pistachio","Mateur","Sfax",2,"Calibration",2004,111,"flowering_f50"
"Pistachio","Mateur","Sfax",2,"Calibration",2006,95,"flowering_f50"
"Pistachio","Mateur","Sfax",2,"Calibration",2007,125,"flowering_f50"
"Pistachio","Mateur","Sfax",2,"Calibration",2008,102,"flowering_f50"
"Pistachio","Mateur","Sfax",2,"Calibration",2009,97,"flowering_f50"
"Pistachio","Mateur","Sfax",2,"Calibration",2010,114,"flowering_f50"
"Pistachio","Mateur","Sfax",2,"Calibration",2011,94,"flowering_f50"
"Pistachio","Mateur","Sfax",2,"Calibration",2012,106,"flowering_f50"
"Pistachio","Mateur","Sfax",2,"Calibration",2013,109,"flowering_f50"
"Pistachio","Mateur","Sfax",2,"Calibration",2014,112,"flowering_f50"
"Pistachio","Mateur","Sfax",2,"Calibration",2015,99,"flowering_f50"
"Pistachio","Mateur","Sfax",2,"Validation",1997,111,"flowering_f50"
"Pistachio","Mateur","Sfax",2,"Validation",2005,101,"flowering_f50"
"Pistachio","Mateur","Sfax",2,"Validation",2016,121,"flowering_f50"
"Pistachio","Mateur","Sfax",2,"Validation",2017,100,"flowering_f50"
"Pistachio","Mateur","Sfax",2,"Validation",2018,99,"flowering_f50"
